,State,Year,income,State.MinWage.Adj,Party,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthrate1819,birthrate1519,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
57,VT,2005,67370,9.27,R,19.2,62,111,166.3,117.7,58.5,12.5,9,23.7,29.9,25,10.7,6.9,3,29.9,17.4,65,115.7,88.3,42.5,7.7,6.82,9.27,195.3,9.27,9.27
58,WA,2005,67293,9.73,D,31.2,103.2,150.7,160.6,132.7,67.1,15.5,12.2,32.1,36.6,24.9,15.6,9.3,3.4,56.6,31.1,92.1,111,96.3,47.4,9.8,6.82,9.73,195.3,9.73,9.73
59,WI,2005,59326,6.82,D,23.7,78.9,122.5,176.3,131.2,57,10.8,5.5,15.3,19.5,14.8,8.7,4.8,1.7,51.7,29.7,84.2,133.3,101.3,43.1,7.5,6.82,6.82,195.3,6.82,6.82
60,WV,2005,48424,6.82,D,30.1,102.4,147.1,151.2,89.3,34.9,7.2,4.7,13.7,15.4,12.4,6.6,3.2,0.9,72.8,42.2,108.5,114.6,68.3,26.1,5.2,6.82,6.82,195.3,6.82,6.82
61,WY,2005,59416,6.82,D,30,112.7,176,188.5,109.4,48.6,10.2,7.1,18.2,21.5,17.1,11.3,7.3,2.4,77.2,42.7,126.9,141.4,80.9,33.8,6.3,6.82,6.82,195.3,6.82,6.82
62,AK,2006,72608,9.17,R,30.8,131,193.9,187,132.5,69.4,16.3,7.7,27.8,29.8,21.5,11.5,7,2.3,83.8,41.8,134.3,136.1,99.8,51.5,11.5,6.61,9.17,201.6,9.17,9.17
63,AL,2006,48843,0,R,40.3,128.4,171.6,159.1,100.8,42.1,8.4,7.1,19.3,23.6,17.1,9.7,4.9,1.5,89.4,51.8,121.4,116.9,75.1,30.6,5.7,6.61,6.61,201.6,0,0
64,AR,2006,47691,6.61,R,43.5,146.7,193.6,157.2,98.1,39.7,8.1,6.5,15.7,18,13.4,8.4,5.3,1.6,107.8,60.8,144.8,118.8,74,28.3,5.3,6.61,6.61,201.6,6.61,6.61
65,AZ,2006,60046,0,D,51.5,153,204,180.8,140.9,68.2,16.2,8.7,27.3,31.7,19.1,13,8,3.7,102.5,61.2,140.9,133.2,105.5,49.5,10.1,6.61,6.61,201.6,0,0
66,CA,2006,71194,8.66,R,42.2,133.5,184.1,180.4,156.9,85.8,23.3,15.4,44.4,55.6,39.5,24.6,14.1,5,70.5,39.9,102.5,114.1,108.2,58.6,14.8,6.61,8.66,201.6,8.66,8.66
67,CO,2006,71680,6.61,R,38.5,114.1,156,163.9,139.3,73.4,15.9,9,27.8,30.7,20,12.6,8.4,2.8,69.6,41.9,101.9,118.3,104.5,53.5,10.7,6.61,6.61,201.6,6.61,6.61
68,CO,2006,71680,6.61,R,38.5,114.1,156,163.9,139.3,73.4,15.9,9,27.8,30.7,20,12.6,8.4,2.8,69.6,41.9,101.9,118.3,104.5,53.5,10.7,6.61,6.61,201.6,6.61,6.61
69,CT,2006,80312,9.49,R,34.1,98.6,145.2,170.3,160.1,83.1,18.9,17.8,43.5,55.7,40.8,21.6,11.8,3.4,42.2,23.5,69.9,104.6,113.6,58.5,12.6,6.61,9.49,201.6,9.49,9.49
70,DC,2006,62388,,D,108.2,116.1,139.3,132.2,131.3,99.3,34.1,53.3,47.4,58.2,49.7,34,24,9.3,53.3,48.1,62.7,64.6,78.2,60.7,19.9,,,,,
71,DE,2006,67486,7.89,D,47,124.7,189.9,178.3,153.8,69.5,13.9,19.1,40.8,57.6,41.3,25.1,13.1,4,66.5,40.6,105.4,110.7,105.2,45.9,7.9,6.61,7.89,201.6,7.89,7.89
